suffix,description,type_diagnosis,type_diagnosis_probability,jurisdiction,length
S. de R.L. de C.V.,,organization,100,,18
S.A.P.I. de C.V.,,organization,100,,16
y. Cía. S. en C.,Sociedad en Comandita Simple,organization,100,Guatemala,16
Private Limited,Limited Company,organization,100,,15
S.M. Pte. Ltd.,Single Member Private Limited Company,organization,100,Cambodia,14
Cía. S. C. A.,Sociedad en Comandita por Acciones,organization,100,Guatemala,13
y. Cía. S. C.,Sociedad Colectiva,organization,100,Guatemala,13
S.A. de C.V.,,organization,100,Mexico,12
spol. s.r.o.,Společnost s ručením omezeným,organization,100,Czech Republic,12
(Pty.) Ltd.,,organization,100,,11
(Pvt.) Ltd.,Private Limited Company,organization,100,India,11
A.D.S.I.Tz.,aktsionerno druzhestvo sus spetsialna investitsionna tsel,organization,100,Bulgaria,11
S.p. z.o.o.,spółka z ograniczoną odpowiedzialnością,organization,100,Poland,11
(Pvt.)Ltd.,Private Limited Company,organization,100,India,10
akc. spol.,Akciová společnost,organization,100,Czech Republic,10
Cía. Ltda.,Compañía Limitada,organization,100,Ecuador,10
E.B.V.B.A.,eenpersoons besloten vennootschap met beperkte aansprakelijkheid,organization,100,Belgium,10
P. Limited,Private Limited Company,organization,100,,10
S. de R.L.,,organization,100,,10
S.I.C.A.V.,Société d'investissement à capital variable,organization,100,France,10
S.P.R.L.U.,société privée à responsabilité limitée unipersonnelle,organization,100,Belgium,10
А.Д.С.И.Ц.,aktsionerno druzhestvo sus spetsialna investitsionna tsel,organization,100,Bulgaria,10
(P.) Ltd.,Private Limited Company,organization,100,India,9
C. por A.,Compañía por Acciones,organization,100,Dominican Republic,9
Comm.V.A.,commanditaire vennootschap op aandelen,organization,100,Belgium,9
Ltd. Şti.,,organization,100,Turkey,9
Plc. Ltd.,Public Limited Company,organization,100,Cambodia,9
Pte. Ltd.,Private Limited Company,organization,100,Cambodia,9
Pty. Ltd.,Proprietary Limited Company,organization,100,Australia,9
Pvt. Ltd.,Private Limited Company,organization,100,India,9
Soc. Col.,Sociedad Colectiva,organization,100,Argentina,9
A.M.B.A.,Andelsselskab med begrænset ansvar,organization,100,Denmark,8
A.S.B.L.,association sans but lucratif,organization,100,Belgium,8
A.V.E.E.,Anónimi Viomihanikí Emborikí Etería,organization,100,Greece,8
B.V.B.A.,besloten vennootschap met beperkte aansprakelijkheid,organization,100,Belgium,8
B.V.I.O.,,organization,100,,8
C.V.B.A.,coöperatieve vennootschap met beperkte aansprakelijkheid ,organization,100,Belgium,8
C.V.O.A.,coöperatieve vennootschap met onbeperkte aansprakelijkheid,organization,100,Belgium,8
E.E.I.G.,European Economic Interest Grouping,organization,100,European Economic Area,8
E.I.R.L.,Empresa Individual de Responsabilidad Limitada,organization,100,,8
